Name,Mol.form.,molecular weight,melting point,boiling point,density,viscosity,heat capacity,vapor pressure,surface tension,thermal conductivity,Group,Group No.,,normal alkyl,carboxylic,aromatic ring,cyclo,ether,ester,ketone,hydroxyl,nitrile,amine,nitro,halide,fluoride,chloride,bromide,iodide,comment,
Acetic acid,C2H4O2,60.052,16.64,117.9,1040 ,1.056,2.053,2.07,27.1,0.158,carboxylic acid,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.04E+06
Acetic anhydride,C4H6O3,102.089,-74.1,139.5,1080 ,0.843,1.648,0.68,31.93,0.164,other,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anhydrated 2 carboxylic acid,1080000
Acetone,C3H6O,58.079,-94.7,56.05,785 ,0.306,2.175,30.8,22.72,0.161,ketone,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,785000
Acetonitrile,C2H3N,41.052,-43.82,81.65,790 ,0.369,2.229,11.9,28.66,0.188,other,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nitrile,790000
Acetophenone,C8H8O,120.149,20.5,202,1030 ,1.681,1.703,0.049,39.04,0.147,other,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,aromatic+ketone,1030000
Allyl alcohol,C3H6O,58.079,-129,97,854 ,1.218,2.392,3.14,25.28,0.162,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 unsaturated bond,854000
Anisole,C7H8O,108.138,-37.13,153.7,994 ,1.056,1.84,0.472,35.1,0.145,aromatic,4,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1 methoxy group,994000
Benzene,C6H6,78.112,5.49,80.09,877 ,0.604,1.741,12.7,28.22,0.1411,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,877000
Benzonitrile,C7H5N,103.122,-13.99,191.1,1010 ,1.267,1.602,0.11,38.79,0.148,other,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,aromatic+nitrile,1010000
Bromobenzene,C6H5Br,157.008,-30.72,156.06,1500 ,1.074,0.983,0.556,35.24,0.111,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,halide,1500000
1-Bromobutane,C4H9Br,137.018,-112.6,101.6,1280 ,0.606,0.798,5.26,25.9,0.103,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1280000
Bromoethane,C2H5Br,108.965,-118.6,38.5,1460 ,0.374,0.925,62.5,23.62,0.101,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1460000
1-Bromopropane,C3H7Br,122.992,-110.3,71.1,1350 ,0.489,0.702,18.6,25.26,0.099,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1350000
1-Butanol,C4H10O,74.121,-88.6,117.73,810 ,2.54,2.391,0.86,24.93,0.153,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,810000
2-Butanone,C4H8O,72.106,-86.64,79.59,800 ,0.405,2.201,12.6,23.97,0.145,ketone,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,800000
Butyl acetate,C6H12O2,116.158,-78,126.1,883 ,0.685,1.961,1.66,24.88,0.136,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,883000
Carbon disulfide,CS2,76.141,-112.1,46,1260 ,0.352,1.003,48.2,31.58,0.149,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sulfide,1260000
Chlorobenzene,C6H5Cl,112.557,-45.31,131.72,1110 ,0.753,1.334,1.6,32.99,0.127,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,halide,1110000
1-Chloropropane,C3H7Cl,78.541,-122.9,46.5,890 ,0.334,1.683,45.8,21.3,0.116,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,890000
m-Cresol,C7H8O,108.138,12.24,202.27,1030 ,12.91,2.08,0.019,35.69,0.149,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,phenol,1030000
Cyclohexane,C6H12,84.159,6.59,80.73,774 ,0.894,1.841,13,24.16,0.123,cycloalkane,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,774000
Cyclohexanol,C6H12O,100.158,25.93,160.84,962 ,57.5,2.079,0.1,32.92,0.138,monohydric alcohol,3,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,cyclo,962000
Cyclohexanone,C6H10O,98.142,-27.9,155.43,948 ,2.02,1.856,0.53,34.57,0.138,ketone,2,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,cyclo,948000
Cyclohexene,C6H10,82.143,-103.5,82.98,811 ,0.625,1.805,11.8,26.17,0.13,cycloalkane,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 unsaturated bond,811000
Cyclopentane,C5H10,70.133,-93.4,49.3,746 ,0.413,1.837,42.3,21.88,0.126,cycloalkane,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,746000
Decane,C10H22,142.282,-29.6,174.15,727 ,0.838,2.21,0.17,23.37,0.1296,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,727000
1-Decanol,C10H22O,158.281,6.9,231.1,830 ,10.91,2.341,0.009,28.51,0.162,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,830000
"1,2-Dibromoethane",C2H4Br2,187.861,9.84,131.6,2170 ,1.595,0.724,1.55,39.55,0.1,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,2170000
Dibromomethane,CH2Br2,173.835,-52.5,97,2500 ,0.98,0.61,6.12,39.05,0.108,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,2500000
m-Dichlorobenzene,C6H4Cl2,147.002,-24.8,173,1290 ,1.044,1.163,0.252,35.43,0.116,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,halide,1290000
"1,2-Dichloroethane",C2H4Cl2,98.959,-35.7,83.5,1250 ,0.779,1.298,10.6,31.86,0.133,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1250000
Dichloromethane,CH2Cl2,84.933,-97.2,40,1330 ,0.413,1.192,58.2,27.2,0.14,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1330000
Diethyl ether,C4H10O,74.121,-116.2,34.5,714 ,0.224,2.369,71.7,16.65,0.13,other,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ether,714000
"N,N-Dimethylaniline",C8H11N,121.18,2.42,194.15,956 ,1.3,1.771,0.107,35.52,0.122,other,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,aromatic+amine,956000
"N,N-Dimethylformamide",C3H7NO,73.094,-60.48,153,945 ,0.794,2.06,0.439,35.74,0.183,other,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,aldehyde+amine,945000
"1,4-Dioxane",C4H8O2,88.106,11.85,101.5,1030 ,1.177,1.726,4.95,32.75,0.159,other,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,cyclo+ether,1030000
Epichlorohydrin,C3H5ClO,92.524,-26,118,1180 ,1.073,1.422,2.2,36.36,0.131,other,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,epoxy+halide,1180000
Ethylene glycol,C2H6O2,62.068,-12.69,197.3,1110 ,16.06,2.394,0.01,47.99,0.254,other,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dihydric alcohol,1110000
Ethanol,C2H6O,46.068,-114.14,78.29,789 ,1.074,2.438,7.87,21.97,0.167,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,789000
Ethanolamine,C2H7NO,61.083,10.5,171,1020 ,21.1,3.201,0.05,48.32,0.24,other,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,alcohol+amine,1020000
Ethyl acetate,C4H8O2,88.106,-83.8,77.11,900 ,0.423,1.937,12.6,23.39,0.144,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,900000
Ethylbenzene,C8H10,106.165,-94.96,136.19,863 ,0.631,1.726,1.28,28.75,0.13,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,863000
Ethyl butanoate,C6H12O2,116.158,-98,121.3,874 ,0.639,1.963,2.01,23.94,0.137,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,874000
Ethyl formate,C3H6O2,74.079,-79.6,54.4,921 ,0.38,2.015,32.3,23.18,0.16,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,formate,921000
Fluorobenzene,C6H5F,96.102,-42.18,84.73,1020 ,0.55,1.523,10.4,26.66,0.136,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,halide(fluorinated),1020000
Formic acid,CH2O2,46.026,8.3,101,1220 ,1.607,2.151,5.75,37.13,0.267,carboxylic acid,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1220000
Glycerol,C3H8O3,92.094,18.1,290,1260 ,934,2.377,0.0000224,62.5,0.285,other,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,trihydric alcohol,1260000
Heptane,C7H16,100.202,-90.55,98.4,680 ,0.387,2.242,6.09,19.66,0.1228,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,680000
Heptanoic acid,C7H14O2,130.185,-7.17,222.2,912 ,3.84,2.039,0.001,27.76,0.14,carboxylic acid,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,912000
1-Heptene,C7H14,98.186,-118.9,93.64,697 ,0.34,2.157,7.52,19.8,0.125,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 unsaturated bond,697000
Hexane,C6H14,86.175,-95.35,68.73,661 ,0.3,2.27,20.2,17.89,0.1167,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,661000
1-Hexanol,C6H14O,102.174,-47.4,157.6,814 ,4.58,2.353,0.11,25.81,0.152,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,814000
2-Hexanone,C6H12O,100.158,-55.5,127.6,811 ,0.583,2.13,1.54,25.45,0.145,ketone,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,811000
1-Hexene,C6H12,84.159,-139.76,63.48,669 ,0.252,2.178,24.8,17.9,0.121,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 unsaturated bond,669000
Iodobenzene,C6H5I,204.008,-31.3,188.4,1830 ,1.554,0.778,0.133,38.71,0.101,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,halide,1830000
Iodoethane,C2H5I,155.965,-111.1,72.3,1940 ,0.556,0.738,18.2,28.46,0.087,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,1940000
Methanol,CH4O,32.042,-97.53,64.6,791 ,0.544,2.531,16.9,22.07,0.202,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,791000
Methyl acetate,C3H6O2,74.079,-98.25,56.87,934 ,0.364,1.916,28.8,24.73,0.153,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,934000
Methyl benzoate,C8H8O2,136.149,-12.4,199,1080 ,1.857,1.625,0.052,37.17,0.147,other,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,aromatic+ester,1080000
Methyl butanoate,C5H10O2,102.132,-85.8,102.8,898 ,0.541,1.941,4.3,24.62,0.14,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,898000
Methyl formate,C2H4O2,60.052,-99,31.7,971 ,0.325,1.983,78.1,24.36,0.187,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,formate,971000
2-Methylpentane,C6H14,86.175,-153.6,60.26,650 ,0.286,2.248,28.2,16.88,0.105,alkane,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 branch,650000
3-Methylpentane,C6H14,86.175,-162.9,63.27,660 ,0.306,2.213,25.3,17.61,0.1064,alkane,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 branch,660000
Methyl propanoate,C4H8O2,88.106,-87.5,79.8,915 ,0.431,1.943,11.5,24.44,0.141,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,915000
2-Methyl-2-propanol,C4H10O,74.121,25.69,82.4,789 ,4.31,2.949,5.52,19.96,0.112,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tertiary alcohol,789000
Nitroethane,C2H5NO2,75.067,-89.5,114,1040 ,0.688,1.79,2.79,32.13,0.173,nitro,9,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1040000
Nitromethane,CH3NO2,61.041,-28.38,101.19,1140 ,0.63,1.746,4.79,36.53,0.204,nitro,9,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1140000
Nonane,C9H20,128.255,-53.46,150.82,719 ,0.665,2.217,0.57,22.38,0.1269,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,719000
1-Nonanol,C9H20O,144.254,-5,213.37,828 ,9.12,2.47,0.0005,27.89,0.159,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,828000
Octane,C8H18,114.229,-56.82,125.67,699 ,0.508,2.229,1.86,21.14,0.1244,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,699000
1-Octanol,C8H18O,130.228,-14.8,195.16,826 ,7.29,2.344,0.01,27.1,0.158,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,826000
Pentane,C5H12,72.149,-129.67,36.06,626 ,0.224,2.317,68.3,15.49,0.1113,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,626000
1-Pentanol,C5H12O,88.148,-77.6,137.98,814 ,3.62,2.361,0.259,25.36,0.15,monohydric alcohol,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,814000
2-Pentanone,C5H10O,86.132,-76.8,102.26,809 ,0.47,2.137,4.97,23.25,0.142,ketone,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,809000
3-Pentanone,C5H10O,86.132,-39,101.7,810 ,0.444,2.216,4.72,24.74,0.144,ketone,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,810000
1-Pentene,C5H10,70.133,-165.12,29.96,641 ,0.195,2.196,85,15.45,0.116,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 unsaturated bond,641000
Propanoic acid,C3H6O2,74.079,-20.5,141.15,988 ,1.03,2.063,0.553,26.2,0.144,carboxylic acid,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,988000
